"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery_Cell","","","","Battery:BatteryHolder_Keystone_1058_1x2032","~"
"C1","1","100uF","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C2","1","220uF","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C3,C4,C5","3","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6,C8,C9,C10,C11,C12,C13,C14","8","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C7","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","D_TVS","","","","Diode_SMD:D_SMA","~"
"D2","1","D_Schottky","","","","Diode_SMD:D_SMA","~"
"J1,J2,J3,J4,J5,J6,J7","7","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"L1","1","33uH","","","","Inductor_SMD:L_12x12mm_H6mm","~"
"R1,R2","2","10kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R4","2","4.7k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16","12","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"U1","1","LM2596S-5","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
"U2","1","AMS1117","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U3","1","ESP32-S3-WROOM-1","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U4","1","DS3231M","","","","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","http://datasheets.maximintegrated.com/en/ds/DS3231.pdf"
